Metric,Mean,Std,CI_95,Mean_CI
ACCURACY,0.6428571428571428,0.15430334996209188,0.1746106780494506,0.6429 ± 0.1746
PRECISION,0.6077441077441077,0.12165556744201797,0.13766623423768887,0.6077 ± 0.1377
RECALL,0.8571428571428572,0.11664236870396084,0.13199326582148885,0.8571 ± 0.1320
F1,0.7099673202614379,0.12100884013506033,0.13693439339555089,0.7100 ± 0.1369
ROC_AUC,0.6462585034013606,0.18729115507396202,0.21193989364562432,0.6463 ± 0.2119
