ablation,accuracy,f1,precision,recall
full_dstgnn,0.6428571428571428,0.7099673202614379,0.6077441077441077,0.8571428571428572
spatial_only,0.42857142857142855,0.5,0.4444444444444444,0.5714285714285714
fully_connected,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
