feature,ig_importance
complexity,106.14093244960883
activity,21.58300582030998
mean,6.897211006552829
mobility,4.590230518601891
delta,2.902260079923002
beta,1.9854592426970628
theta,1.0261226854203063
gamma,1.009437077818898
alpha,0.8201015920249598
