channel,channel_idx,addicted_mean,healthy_mean,t_statistic,p_value,cohens_d,auc_score,discriminability,task
P4,0,93.26666013113511,92.85735215726736,0.007844307520854112,0.99387011351464,0.0045289130587663155,0.326530612244898,2.776172295230182e-05,F
Fp2,8,417.25130536213203,740.3736026733732,-2.7353617861201576,0.01808603854497829,-1.5792618635467168,0.12244897959183675,1.5506992726099966,M
C3,13,43.88138831481441,183.7507545450433,-2.2060411823989807,0.0476177119905027,-1.273658470500292,0.163265306122449,1.213009768277745,M
Fp1,10,480.2933097607459,787.0701044332693,-1.5553936698309863,0.14581941703037213,-0.898006953972497,0.30612244897959184,0.7670601034550072,M
P3,16,63.91614301530775,118.50450888231872,-1.2771758129318502,0.2256989020478287,-0.7373777993976868,0.2653061224489796,0.5709524396791847,M
C4,4,41.31609165383211,82.59584427269108,-1.2439931105796387,0.23725398119558622,-0.7182197572619446,0.3469387755102041,0.5478192604782207,M
Cz,5,1.8664967940676305,6.110833837845671,-1.2208387409361885,0.24559294206126422,-0.7048515757049267,0.30612244897959184,0.5317450035110358,M
T8,3,120.68283750023579,165.1168749820876,-1.0280179932265414,0.32421781937703786,-0.5935264651203297,0.3673469387755102,0.40109460885645487,M
F8,9,195.87410728888418,249.3913205426824,-1.0171662039564406,0.32914440095297404,-0.5872611816641963,0.3877551020408163,0.39396745182239873,M
P8,2,169.6227056221019,125.89196751215765,0.9157454996199452,0.377835686339144,0.5287059107141245,0.6734693877551021,0.3289419500678911,M
Fz,6,146.30143078977653,108.78792372171964,0.6723348973153753,0.5141081759680063,0.3881727339502097,0.6326530612244898,0.18860995773855319,M
F7,11,201.00418500178685,238.52013996767536,-0.514260175409396,0.6164087096335212,-0.2969082507058839,0.32653061224489793,0.11389141900872399,M
O1,17,127.5385028371243,153.3587402384293,-0.49603882613462713,0.6288275143927258,-0.28638814979701527,0.40816326530612246,0.10629940140862655,M
F3,12,156.08043890773368,180.20076488268916,-0.45019845510159373,0.6605925599042908,-0.2599221992413787,0.3877551020408163,0.08821952826856325,M
