task,group,pli_mean,wpli_mean,pli_std,wpli_std,correlation
EC,addicted,0.0759204678362573,0.14675014783902834,0.07256501798923866,0.13040887264953913,0.9626396160382384
EC,addicted,0.059532163742690054,0.12084598116457995,0.06634218949126043,0.1264666213455347,0.9356937878145422
EC,addicted,0.07465964912280702,0.18608449748749045,0.05682319720173939,0.158330950993067,0.4906270869223709
EC,addicted,0.04424873294346979,0.11232915558203131,0.05720582757832355,0.1243293541470481,0.8427640385467093
EC,addicted,0.04383937621832359,0.11952634572901993,0.0319565947276842,0.10299066140613587,0.4429053736814312
EC,addicted,0.13293567251461988,0.23553777315597627,0.1271487634690492,0.19738710748778057,0.9476808891198664
EC,addicted,0.05788148148148148,0.13531625051309298,0.05219205687328496,0.1110380126337037,0.6485980752088335
EC,healthy,0.03950643274853801,0.1278636991019364,0.04079556574850512,0.12246845760853957,0.675898472697867
EC,healthy,0.06652787524366473,0.16040709818347224,0.04917750502769095,0.10084855971101185,0.8549224497655034
EC,healthy,0.04649668615984405,0.09500851252099553,0.04071121336317421,0.07680590848150891,0.8154163845031528
EC,healthy,0.05255204678362573,0.15355891358086035,0.05240809586986312,0.16648056020186636,0.7230378940236211
EC,healthy,0.029843274853801175,0.0813456000676743,0.03069919579425061,0.06870369616709203,0.7451473617496062
EC,healthy,0.049228849902534115,0.1009471609778925,0.036598242012839385,0.06941133042284472,0.810259109807202
EC,healthy,0.04555009746588694,0.09261066724505765,0.04126539854738411,0.06522292564858542,0.5912417771766442
EO,addicted,0.04222144249512671,0.08798979757183192,0.03286944316467188,0.07350537395399648,0.8752008964667582
EO,addicted,0.032504483430799216,0.10476703756769794,0.026659217271684372,0.08791446767710921,0.4286637974627045
EO,addicted,0.04124366471734893,0.1182536914748684,0.035190496769058936,0.10738228015361725,0.40269429464856366
EO,addicted,0.05150409356725146,0.12352894447171257,0.04860071637708146,0.10326383967722377,0.7755181281507425
EO,addicted,0.02687017543859649,0.1129678947209431,0.022094671679013456,0.12353781389016633,0.017612914947080185
EO,addicted,0.04578167641325536,0.10297842613863549,0.03353084798972786,0.07769886599587945,0.7730651787385598
EO,addicted,0.04783703703703704,0.08922218047336233,0.029526663195050942,0.06026339128617346,0.7294610969156465
EO,healthy,0.029999999999999995,0.1023216402419789,0.03011173474246842,0.08505077091036009,0.2956727084003632
EO,healthy,0.03488499025341131,0.08164239991114264,0.02458070585324127,0.07125419974180275,0.5237879583148989
EO,healthy,0.039907992202729045,0.07388391866457134,0.02833068731705938,0.05451028916786372,0.5226706566828002
EO,healthy,0.05943859649122807,0.18539379575588374,0.05760526871168385,0.1867361120527173,0.7607605709245889
EO,healthy,0.041076803118908385,0.06809341299075235,0.06261852409128305,0.08696733022057393,0.8736109776372555
EO,healthy,0.04312748538011696,0.09722770003880385,0.03370703028194302,0.07094888156029866,0.8922743281972649
EO,healthy,0.03340818713450292,0.07368904471739442,0.0400598799430802,0.0812309272836172,0.6833904789071462
H,addicted,0.03002573099415205,0.06665419881422362,0.027772241097951556,0.05257131545257108,0.7108108544946012
H,addicted,0.03809668615984405,0.07850232638773814,0.033573686410162215,0.06546870866202345,0.7650073697656867
H,addicted,0.034423391812865495,0.12163005407179296,0.02938642499421628,0.12386121437966285,0.27163137412609945
H,addicted,0.04339493177387914,0.12963663568452663,0.05102264044383476,0.12394912943501575,0.5109217384811349
H,addicted,0.029107992202729045,0.08220526513818585,0.023255005423678143,0.0717739441421959,0.47793284504928807
H,addicted,0.032252631578947366,0.08545582655463449,0.02682419379714636,0.07036062067944286,0.5479760159038487
H,addicted,0.036699415204678364,0.06961591469683993,0.029377492340025024,0.06395625272096393,0.7077406087302724
H,healthy,0.035602339181286545,0.08838595213385678,0.03975475820887645,0.08587281041983741,0.42162915106863325
H,healthy,0.03681247563352826,0.07392164347980931,0.025378403537771033,0.055626260380711924,0.6553016189593306
H,healthy,0.037140740740740745,0.07174057536202927,0.027991414672319366,0.05229079018850961,0.615040112936268
H,healthy,0.03712670565302144,0.10554210374206334,0.029818982275760065,0.08123306446639451,0.5859121888290164
H,healthy,0.04023937621832359,0.0766702496000573,0.0760550956795018,0.09415222192229396,0.8439890610078822
H,healthy,0.054332163742690065,0.10173008880779351,0.03952406228624174,0.0772594365286224,0.8597504201095074
H,healthy,0.060863937621832356,0.12306566143345918,0.05435685392754618,0.10542985365941351,0.7676179957590491
C,addicted,0.031248343079922025,0.07607857643722704,0.026443549093826603,0.06150706496307342,0.7358562432967397
C,addicted,0.04353138401559454,0.08770928378770473,0.03455566681834673,0.07033519462057003,0.8602396371563543
C,addicted,0.03650994152046783,0.10675932777531746,0.029877658686058094,0.08787777745338263,0.5534961092265875
C,addicted,0.046973879142300196,0.09063567279237078,0.06060562461401407,0.09207791879683067,0.7653986133648167
C,addicted,0.02941598440545809,0.09971004434552544,0.024019944696007045,0.08758442884405183,0.3551724650999672
C,addicted,0.028669785575048734,0.07794100553514216,0.019960668034288698,0.07924237620192813,0.35751343590152307
C,addicted,0.03227524366471734,0.07369346304486743,0.024592944555028307,0.06932858433715239,0.3987644748551495
C,healthy,0.03378869395711501,0.20049659364655223,0.03527261032536361,0.1865916541993464,0.45932402953306867
C,healthy,0.032249512670565306,0.07931692423471591,0.02712008512120645,0.0651506341571851,0.3823894496775308
C,healthy,0.04028849902534114,0.07859221118066678,0.03357005598968497,0.06734770847702326,0.7365407329890706
C,healthy,0.03581754385964912,0.0673728141327262,0.02781164492523872,0.05204975966106412,0.7812935609390994
C,healthy,0.04377621832358674,0.09914775146206124,0.039881158494368234,0.08729965380613045,0.7970395562523418
C,healthy,0.03579259259259259,0.07969869959619458,0.026203232736039927,0.06547094885466051,0.69460771273037
C,healthy,0.04992436647173489,0.11146514226678499,0.06719650658994847,0.09349830605754708,0.8380971074138094
S,addicted,0.02877270955165692,0.05990797225781952,0.02388196627292629,0.052314217378319046,0.7611529069008033
S,addicted,0.0549598440545809,0.1309014039777914,0.036803236346328635,0.09777774913068148,0.5962530565885759
S,addicted,0.03667212475633528,0.12749764957324125,0.030939652365013195,0.1198986951088472,0.39765837067270704
S,addicted,0.0354588693957115,0.07686069631869576,0.03295883098036745,0.09617372400335322,0.6384644962050777
S,addicted,0.038048343079922026,0.09908026749625402,0.029135568531519614,0.08959049454693109,0.5064208277925522
S,addicted,0.03182846003898636,0.10456742524355614,0.024068412261273438,0.07388173615087834,0.23946984736977425
S,addicted,0.035167251461988305,0.07132819364933696,0.026426760383659653,0.05464385217924411,0.5356820353226649
S,healthy,0.040081091617933724,0.1753529973137958,0.0439868735202131,0.14306918700656396,0.5114707115074499
S,healthy,0.03048576998050682,0.15436727284407262,0.02485196768530475,0.13850032107493335,0.2829354029404133
S,healthy,0.03077972709551657,0.06132627862453446,0.022457241553029996,0.04795847006338057,0.4920306493461348
S,healthy,0.028294736842105265,0.07990050971098496,0.02460383636188005,0.08530763898895714,0.4828888109944133
S,healthy,0.03137933723196881,0.05441503361708177,0.027386192682777293,0.05772492336589212,0.765325503864189
S,healthy,0.05178557504873295,0.12267264847492097,0.041715353074248514,0.08214403585997891,0.8557431043764608
S,healthy,0.03942768031189084,0.11941859554641956,0.02892794728951795,0.09638735236744231,0.4693581726482928
F,addicted,0.03287797270955166,0.07246659845021174,0.026488220723288963,0.05529674870096861,0.8141120778918821
F,addicted,0.03557816764132554,0.08629289454387978,0.032373713520645046,0.07721859183956797,0.49118651022495297
F,addicted,0.03513138401559454,0.08640021661260255,0.032135937246902765,0.0811594716887202,0.5251219738758434
F,addicted,0.04243898635477583,0.1323548285794893,0.03727563542025232,0.12637194003111848,0.5935300557560461
F,addicted,0.030382066276803118,0.11641066161563705,0.022077841864265663,0.12804280303994936,0.16334505167506977
F,addicted,0.03358362573099416,0.06652761447046855,0.026700404430094648,0.05530366233931902,0.721841901015587
F,addicted,0.03362495126705653,0.08291375698627029,0.02755697791404674,0.08075971857457177,0.29476364848503644
F,healthy,0.03914463937621833,0.12247549922283081,0.05648594645022267,0.14456998693654363,0.7715607285890574
F,healthy,0.04305341130604288,0.09341636643270769,0.029479944279861822,0.06618453838290089,0.7449820856480963
F,healthy,0.039073684210526316,0.07145790778458676,0.026449939035668786,0.055816002772029985,0.6111492554820741
F,healthy,0.03556803118908382,0.08413649595803337,0.03162032586619985,0.08671815920200407,0.6472312788381855
F,healthy,0.0362869395711501,0.07421945641071705,0.03314846834367707,0.07660736081424042,0.7416275051826334
F,healthy,0.03815204678362573,0.08876377600680743,0.03259213143111819,0.06783296002431254,0.7649974219187144
F,healthy,0.03936842105263157,0.09995599767733783,0.02915118202451409,0.09615646528527882,0.5299337264365499
M,addicted,0.02749083820662768,0.060614859060694824,0.02219069431343293,0.0519926846670437,0.820584714058681
M,addicted,0.03439844054580897,0.07146610665449266,0.024714417668903345,0.05556014502282021,0.721854963390003
M,addicted,0.04568031189083821,0.22174592814804214,0.03942839005669428,0.19523952031126382,0.37642836061688423
M,addicted,0.06127719298245613,0.12390223790366892,0.06557520386229342,0.11614893652292387,0.8184080045936006
M,addicted,0.028112280701754387,0.08328637362493428,0.02296572520180156,0.07095175517439915,0.38753526152570233
M,addicted,0.03631578947368421,0.07886993892382593,0.028995118747581424,0.06868331755490018,0.6495588204436683
M,addicted,0.03620428849902534,0.07057671627128523,0.02801794017878879,0.052399921096932076,0.5664684019998067
M,healthy,0.03027836257309941,0.13350374597652714,0.033394205135473344,0.1465274633565265,0.53972650618663
M,healthy,0.03230877192982456,0.07376195038559505,0.025851857554877032,0.055288123704371174,0.42691395714076047
M,healthy,0.04584249512670565,0.08885676489027546,0.032037348867053804,0.060024134420650625,0.6616462059903286
M,healthy,0.030482651072124754,0.09195838287739959,0.025442637474891814,0.09896770655632434,0.3350105043111656
M,healthy,0.029815984405458094,0.0888405018860542,0.029224846865695354,0.06282932742286192,0.5434973287831476
M,healthy,0.03705185185185185,0.07329948302829094,0.027776359054088404,0.05845688815261481,0.7691620350551873
M,healthy,0.058136452241715396,0.14970747762230552,0.05366922484325313,0.13076054992467315,0.6529543290823969
ET,addicted,0.02482923976608187,0.059201276500450276,0.020975626875348857,0.05494182226815191,0.7937936460292364
ET,addicted,0.04521208576998051,0.14874399704570232,0.036922972832777935,0.12663832374775733,0.7942043343003103
ET,addicted,0.024234307992202726,0.1177656157042754,0.02083049491054716,0.14424384016873165,0.3346447338825251
ET,addicted,0.058928265107212476,0.10430565694082118,0.133462525130986,0.14953992981205516,0.9025837565067991
ET,addicted,0.035008187134502926,0.1075876823063684,0.02841592156411525,0.09753211526719058,0.6101532804702443
ET,addicted,0.029361013645224178,0.08215425300708425,0.025889955312959238,0.0787070475552786,0.6141163709849543
ET,addicted,0.06430370370370371,0.18430112040898364,0.05095252698125733,0.1430508356859933,0.8389577665284753
ET,healthy,0.029999220272904484,0.11167407729406675,0.02392576236309271,0.08854322987588048,0.5649984306499748
ET,healthy,0.062347758284600395,0.16962430889263708,0.04371399663863063,0.1193491645391938,0.9034613171490572
ET,healthy,0.05941715399610137,0.18497316163151523,0.048807048638885485,0.13393704886574778,0.8027602678760952
ET,healthy,0.028533333333333334,0.08922548856845385,0.02316372441242925,0.09309356341718958,0.5241349641469224
ET,healthy,0.03366939571150098,0.07777942595038019,0.02710093410437069,0.05980709174702587,0.7192131600860867
ET,healthy,0.06917933723196881,0.1434683579731561,0.048557064912400416,0.11223517887390805,0.8456418854464689
ET,healthy,0.043202729044834305,0.12329928494626795,0.03199742302548148,0.09637117772856768,0.5528130457634541
R,addicted,0.0316046783625731,0.07213448558068157,0.027339602360956602,0.0673789699526815,0.786769432639823
R,addicted,0.05314619883040935,0.11129704211809158,0.042463898248888785,0.09263987673074305,0.48303616914219166
R,addicted,0.041100974658869395,0.12033211227652647,0.04020317558583144,0.1262711511862933,0.6202235010064294
R,addicted,0.05216452241715399,0.11061560811078196,0.09331658810701883,0.11630854855079922,0.6556401153976004
R,addicted,0.03584405458089669,0.09751238399952279,0.025361371745288915,0.07969202551249274,0.45559174802795466
R,addicted,0.0375578947368421,0.10004325776154249,0.0319804569097732,0.07294755480732999,0.6041482226908725
R,addicted,0.058932553606237816,0.24737885070843252,0.0475511338537373,0.18436262638639322,0.5224202058307121
R,healthy,0.04493489278752437,0.10361114402729883,0.03721136017002409,0.08234477610664179,0.5554113552815367
R,healthy,0.03935828460038986,0.09051240671359578,0.030635519416991972,0.06558536616990451,0.7120217430214127
R,healthy,0.03684912280701754,0.08463221981187781,0.02708359026797651,0.06908935507883096,0.5410427761625181
R,healthy,0.05222768031189083,0.10621761807638638,0.04078401422121865,0.09174949997612017,0.5951057492762626
R,healthy,0.037619493177387914,0.12907822863372673,0.030212319232414953,0.10265599202842983,0.20773284600955746
R,healthy,0.04789551656920078,0.09910511842971738,0.037931738551185375,0.07810867963511714,0.6965447584282123
R,healthy,0.040784405458089666,0.11142524047783235,0.03510074857937299,0.09025712491646264,0.5788111185677743
