channel,ig_importance
C3,0.9999999999957608
Cz,0.9992891045871466
P8,0.9525587838207421
C4,0.8471398596785511
Fz,0.8320026231573258
T8,0.7906457674571771
Fp1,0.7683050096151425
F4,0.7566287618570987
Pz,0.7508388715951031
O2,0.6424723703925559
P7,0.6189807992554961
F8,0.5973799038825579
P4,0.5733135294408982
P3,0.5403439866616953
Fp2,0.5359942344008701
F7,0.5291185132352738
O1,0.5248888609385796
F3,0.5121886855480365
T7,0.3796888828550032
